judge_row_id,source_index,question_id,category,son_department,title,question,reference_answer,model_answer,llm,original_claude_judgement,original_judge_model,status,grok_model,provider_base_url,reasoning_effort,structured_output,grok_score,raw_grok_judgement,grok_usage_json,error_type,error_message,attempted_at_utc,source
6134__gpt_5_1,592,6134,المعاملات والأمانات,اللقطة,الانتفاع باللقطة بعد تعريفها,تقول: إن زوجها يعمل سائقاً على الطريق، فسقط من السيارة التي أمامه كيس من السكر، ولم يتمكن الزوج من اللحاق بالسيارة فأحضر الكيس الى البيت، فماذا تفعل به؟,أقول وبالله التوفيق: يأخذ حكم اللقطة، فإن استطاع إرجاعه لصاحبه فعل، وإلا يتصدق به على الفقراء عن صاحبه، وإن كان هو فقيراً تصدق به على نفسه وأهله، والله أعلم.,"هذا الكيس يُعَدّ **لُقَطَة** في حكم الشرع عند الحنفية، وحكمه كالتالي باختصار:

1. **يجب على الزوج أن يعرِّف صاحبَه** قدر الاستطاعة:
   - يسأل أهل المنطقة أو أصحاب المحلات على الطريق.
   - إن كان في مكان يمكن لصاحبه أن يرجع إليه فيُسأل عنه هناك زمنًا معقولًا بحسب العُرف.

2. **لا يجوز له أن يتملّكه قبل التعريف**؛ لأن مال المسلم معصوم، والأصل بقاء الملك لصاحبه.

3. بعد بذل الجهد في التعريف وعدم ظهور صاحبه:
   - في مذهب الحنفية: له أن ينتفع به مع بقاء الضمان في ذمته، فمتى ظهر صاحبه خيره بين:
     - أن يعطيه مثل السكر (أو قيمته).
     - أو أن يأخذ الأجر إن كان راضياً بما فُعل.

4. إن خاف على نفسه أو أهله من عدم أداء الحق، فالأورع:
   - أن يتصدّق به عن صاحبه بنية: «إن جاء صاحبه خُيّر بين الأجر أو القيمة».

فالواجب الآن:  
لا تعتبروا الكيس ملكًا لكم مباشرة، بل عرِّفوا به ما استطعتم، ثم إن لم يظهر صاحبه فلكم الانتفاع به مع بقاء الضمان في الذمّة.",gpt-5.1,0,claude-sonnet-4-5,ok,x-ai/grok-4.3,https://openrouter.ai/api/v1,medium,True,0.0,"{
  ""rating"": 0
}","{""completion_tokens"": 1866, ""prompt_tokens"": 1073, ""total_tokens"": 2939, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""reasoning_tokens"": 1857, ""rejected_prediction_tokens"": null, ""image_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 128, ""cache_write_tokens"": 0, ""video_tokens"": 0}, ""cost"": 0.00587185, ""is_byok"": false, ""cost_details"": {""upstream_inference_cost"": 0.00587185, ""upstream_inference_prompt_cost"": 0.00120685, ""upstream_inference_completions_cost"": 0.004665}}",,,2026-05-07T09:36:18.751578+00:00,validation_seed
6134__gemini_2_5_flash,593,6134,المعاملات والأمانات,اللقطة,الانتفاع باللقطة بعد تعريفها,تقول: إن زوجها يعمل سائقاً على الطريق، فسقط من السيارة التي أمامه كيس من السكر، ولم يتمكن الزوج من اللحاق بالسيارة فأحضر الكيس الى البيت، فماذا تفعل به؟,أقول وبالله التوفيق: يأخذ حكم اللقطة، فإن استطاع إرجاعه لصاحبه فعل، وإلا يتصدق به على الفقراء عن صاحبه، وإن كان هو فقيراً تصدق به على نفسه وأهله، والله أعلم.,"بناءً على مذهب الحنفية، ما سقط من السيارة ويُعدّ من اللقطة، يُنظر إلى قيمته.

إذا كان الشيء المفقود ذا قيمة قليلة، بحيث يغلب على الظن أن صاحبه لا يطلبه ولا يهتم به، ولا تتحمل قيمة الشيء نفقة إعلانه، جاز لمن وجده أن ينتفع به ولا يلزمه الإعلان عنه. وكيس السكر يدخل في هذا الباب، فلا يجب إعلانه، ويجوز الانتفاع به.",gemini-2.5-flash,-1,claude-sonnet-4-5,ok,x-ai/grok-4.3,https://openrouter.ai/api/v1,medium,True,0.0,"{
  ""rating"": 0
}","{""completion_tokens"": 1219, ""prompt_tokens"": 790, ""total_tokens"": 2009, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""reasoning_tokens"": 1210, ""rejected_prediction_tokens"": null, ""image_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 128, ""cache_write_tokens"": 0, ""video_tokens"": 0}, ""cost"": 0.0039006, ""is_byok"": false, ""cost_details"": {""upstream_inference_cost"": 0.0039006, ""upstream_inference_prompt_cost"": 0.0008531, ""upstream_inference_completions_cost"": 0.0030475}}",,,2026-05-07T09:36:18.751597+00:00,validation_seed
10042__gpt_5_1,2,10042,المعاملات والأمانات,البيع,الاستصناع بقرض ربوي,نجّارٌ أتاه زبون يطلب صنع شيءٍ ما، وأخبره أنّه وضع له في حسابه عشرة آلافٍ عند شركة الخشب؛ ليستخدمها في صنع المطلوب، والمشكلة أنّ الزبون ذهب إلى البنك وطلب (كريدت كارت) واقترض من خلاله المبلغ المطلوب، وسيدفعه للبنك الربوي على شكل أقساط، فهل يجوز للنجّار قَبول المبلغ وإنجاز العمل أم لا؟,أقول وبالله التوفيق: النجار يستحق المبلغ جزاء عمل مباح يقوم به، ولا يضره مصدر المال للزبون ما لم يكن مسروقاً، والله أعلم.,"بِناءً على المعتمد في المذهب الحنفي:

- الإثم في مسألة القرض الرِّبوي يقع على الزبون الذي تعاقد مع البنك، لا على النَّجّار، ما دام النَّجّار لم يشاركه في عقد الرِّبا، ولم يتولَّ كتابة العقد أو الشهادة عليه أو الدلالة عليه.  
- المال الذي يصل إلى يد النَّجّار بعد ذلك يُعَدُّ في حقِّه مالًا مُباحًا؛ لأن الحنفية يقرّرون أنّ المال بعد حصوله في يد مالكه على وجه مُعتادٍ في العُرف يُعَدُّ مِلكًا صحيحًا، ولو كان صاحبُه قد اكتسبه بطريقٍ محرَّمٍ يختصُّ به هو (كالرِّبا ونحوه)، ما لم يكن النَّجّار شريكًا في نفس المعاملة المحرَّمة.

وعليه:

- يجوز للنجّار أن يقبل المبلغ، ويصنع المطلوب، ولا حرج عليه في الأجرة.  
- لكن يُستحب له أن ينصح الزبون بترك الرِّبا، مع عدم إفساد المعاملة المباحة التي بينهما.",gpt-5.1,1,claude-sonnet-4-5,ok,x-ai/grok-4.3,https://openrouter.ai/api/v1,medium,True,1.0,"{
  ""rating"": 1
}","{""completion_tokens"": 613, ""prompt_tokens"": 1062, ""total_tokens"": 1675, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""reasoning_tokens"": 604, ""rejected_prediction_tokens"": null, ""image_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 128, ""cache_write_tokens"": 0, ""video_tokens"": 0}, ""cost"": 0.0027256, ""is_byok"": false, ""cost_details"": {""upstream_inference_cost"": 0.0027256, ""upstream_inference_prompt_cost"": 0.0011931, ""upstream_inference_completions_cost"": 0.0015325}}",,,2026-05-07T09:36:18.751602+00:00,validation_seed
10042__gemini_2_5_flash,3,10042,المعاملات والأمانات,البيع,الاستصناع بقرض ربوي,نجّارٌ أتاه زبون يطلب صنع شيءٍ ما، وأخبره أنّه وضع له في حسابه عشرة آلافٍ عند شركة الخشب؛ ليستخدمها في صنع المطلوب، والمشكلة أنّ الزبون ذهب إلى البنك وطلب (كريدت كارت) واقترض من خلاله المبلغ المطلوب، وسيدفعه للبنك الربوي على شكل أقساط، فهل يجوز للنجّار قَبول المبلغ وإنجاز العمل أم لا؟,أقول وبالله التوفيق: النجار يستحق المبلغ جزاء عمل مباح يقوم به، ولا يضره مصدر المال للزبون ما لم يكن مسروقاً، والله أعلم.,"يجوز للنجّار قبول المبلغ وإنجاز العمل، ولا حرج عليه في ذلك.

وذلك لأنّ ذنب الاقتراض بالربا يقع على المقترض، أما النجار فكسبه حلال ومشروعيته ثابتة من بيعه خدمة مباحة (وهي النجارة) في عقد صحيح.

فالنجار ليس طرفاً في عقد القرض الربوي، وإنما هو بائع لخدمة مشروعة، وثمنها الذي يتلقاه مقابل عمله هو كسب حلال له، ولا يضرّه مصدر المال الذي يملكه الزبون بعد أن دخل في ذمته، حتى لو كان الزبون قد اكتسبه بطريق محرم.

هذا ما عليه مذهب الحنفية، حيث يفرّقون بين حرمة الكسب على المكتسب، وبين حلّية التعامل مع هذا المال لمن ينتقل إليه بعقد صحيح ومشروع.

**المصادر في المذهب الحنفي:**
*   **البحر الرائق شرح كنز الدقائق** (لابن نجيم)
*   **المبسوط** (للشمس السرخسي)
*   **بدائع الصنائع في ترتيب الشرائع** (للكاساني)",gemini-2.5-flash,"**1**

Both answers convey the same core ruling: the carpenter may accept payment for permissible work, and the source of the customer's money does not harm him. Answer B provides extensive elaboration, scholarly references, and contextual details about interest-based loans, but the fundamental fatwa (ruling) and underlying reasoning are identical to Answer A. The semantic meaning is the same, with Answer B being a more detailed exposition of the same position.",claude-sonnet-4-5,ok,x-ai/grok-4.3,https://openrouter.ai/api/v1,medium,True,1.0,"{
  ""rating"": 1
}","{""completion_tokens"": 857, ""prompt_tokens"": 1039, ""total_tokens"": 1896, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""reasoning_tokens"": 848, ""rejected_prediction_tokens"": null, ""image_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 128, ""cache_write_tokens"": 0, ""video_tokens"": 0}, ""cost"": 0.00330685, ""is_byok"": false, ""cost_details"": {""upstream_inference_cost"": 0.00330685, ""upstream_inference_prompt_cost"": 0.00116435, ""upstream_inference_completions_cost"": 0.0021425}}",,,2026-05-07T09:36:18.751605+00:00,validation_seed
6849__gemini_2_5_flash,83,6849,المعاملات والأمانات,الضمان,استرداد الحق دون علم صاحب المال,شاب يعمل بمكان، وصاحب العمل يأخذ من راتبه على وجه الحياء والإجبار ويعطيه لعامل النظافة، فهل يجوز للشاب أن يسترد نقوده دون أن يعلم صاحب العمل؟,أقول وبالله التوفيق: الأولى أن يحتسبها عند الله، وينوي بها الصدقة، والله أعلم.,"فعل صاحب العمل بأخذ جزء من راتب الشاب على وجه الإجبار غير جائز شرعاً، والراتب حق للشاب لا يجوز المساس به إلا برضاه التام.

وللشاب الحق في استرداد ماله الذي أُخذ منه بغير حق. وفي مذهب الحنفية، إذا تعذر استرداد الحق بالوجه الظاهر أو كان صاحبه جاحداً له، جاز لصاحب الحق ""الظفر بحقه"" أي أن يسترد ما أُخذ منه خفية، بشرط أن يأخذ القدر الذي له فقط دون زيادة، وأن يكون حقه ثابتاً لا شك فيه.

وعليه، يجوز للشاب أن يسترد المبلغ الذي اقتُطع منه بغير حق، بشرط ألا يزيد على ما هو مستحق له.",gemini-2.5-flash,-1,claude-sonnet-4-5,ok,x-ai/grok-4.3,https://openrouter.ai/api/v1,medium,True,0.0,"{
  ""rating"": 0
}","{""completion_tokens"": 2014, ""prompt_tokens"": 821, ""total_tokens"": 2835, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""reasoning_tokens"": 2005, ""rejected_prediction_tokens"": null, ""image_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 128, ""cache_write_tokens"": 0, ""video_tokens"": 0}, ""cost"": 0.00592685, ""is_byok"": false, ""cost_details"": {""upstream_inference_cost"": 0.00592685, ""upstream_inference_prompt_cost"": 0.00089185, ""upstream_inference_completions_cost"": 0.005035}}",,,2026-05-07T09:36:18.751608+00:00,validation_seed
6849__gpt_5_1,82,6849,المعاملات والأمانات,الضمان,استرداد الحق دون علم صاحب المال,شاب يعمل بمكان، وصاحب العمل يأخذ من راتبه على وجه الحياء والإجبار ويعطيه لعامل النظافة، فهل يجوز للشاب أن يسترد نقوده دون أن يعلم صاحب العمل؟,أقول وبالله التوفيق: الأولى أن يحتسبها عند الله، وينوي بها الصدقة، والله أعلم.,"بحسب المعتمد في المذهب الحنفي:

1. **أصل المسألة**  
   راتب الشاب حقٌّ له بعقد العمل، ولا يجوز لصاحب العمل أن يقتطع منه شيئًا بغير رضاه الصريح، ولو كان بدعوى إعطائه لعامل النظافة، ما دام الشاب غير راضٍ حقيقةً، وإنما يفعل ذلك حياءً أو تحت نوع من الإكراه المعنوي.

2. **حكم ما أخذه صاحب العمل**  
   المبلغ المقتطع يبقى **حقًّا للشاب** شرعًا، وصاحب العمل يعدّ **غاصبًا** لهذا القدر، وما يدفعه لعامل النظافة يكون من مال الشاب بغير إذنه، فلا يبرأ به ذمّة صاحب العمل من حق الشاب.

3. **هل يجوز للشاب أن يسترد ماله خفية؟ (مسألة الظَّفَر بالحق)**  
   في المذهب الحنفي: يجوز للمظلوم أن يأخذ حقَّه من مال الظالم **من غير علمه** بشروط، منها:
   - أن يكون له حقٌّ محقَّق لا شبهة فيه.  
   - أن يتعذّر عليه أخذ حقه بطريق ظاهرة (كالشكوى أو القضاء) أو يترتّب على المطالبة ضرر أو حرج شديد.  
   - ألا يأخذ إلا **قدر حقه فقط**، دون زيادة.  
   
   بناءً على ذلك:  
   إن كان صاحب العمل يقتطع المال ظلمًا، ولا يستطيع الشاب استرجاعه بطريق رسمي أو صريح دون ضرر أو حرج شديد، **جاز له في المذهب الحنفي أن يأخذ من مال صاحب العمل – بالقدر الذي اقتُطع منه – دون علمه**، بشرط:
   - ألا يتجاوز قدر المقتطَع.  
   - وألا يقع في كذب ويمين غموس أو خيانة أمانة زائدة على استرداد حقه.

4. **تنبيه مهم**  
   - إن كان الشاب قد **رضي ابتداءً** بهذا النظام (أن يُقتطع جزء من راتبه لعامل النظافة) رضًا صريحًا حقيقيًّا، ثم ندم بعد ذلك، فلا حق له في استرداد ما مضى.  
   - أما إن كان ""الرضا"" مجرد حياء أو خوف من الإحراج، فالحق باقٍ له.

**الخلاصة:**  
إذا كان الاقتطاع يتم **بغير رضا حقيقي**، فهو اقتطاع ظالم، ويجوز للشاب في المذهب الحنفي أن يستردَّ من مال صاحب العمل – خفية – **قدر ما أُخذ من راتبه** مع تعذّر استرداده بطريق ظاهرة، وبالقيود المذكورة.",gpt-5.1,-1,claude-sonnet-4-5,ok,x-ai/grok-4.3,https://openrouter.ai/api/v1,medium,True,-1.0,"{
  ""rating"": -1
}","{""completion_tokens"": 1016, ""prompt_tokens"": 1423, ""total_tokens"": 2439, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""reasoning_tokens"": 1007, ""rejected_prediction_tokens"": null, ""image_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 128, ""cache_write_tokens"": 0, ""video_tokens"": 0}, ""cost"": 0.00418435, ""is_byok"": false, ""cost_details"": {""upstream_inference_cost"": 0.00418435, ""upstream_inference_prompt_cost"": 0.00164435, ""upstream_inference_completions_cost"": 0.00254}}",,,2026-05-07T09:36:18.751611+00:00,validation_seed
8088__gpt_5_1,10,8088,المعاملات والأمانات,البيع,الإتجار بما يخص مستلزمات الصلاة,إذا أراد شخص الإتجار بمجموعة خاصة للصلاة مكونة من مصحف وسجادة صلاة ومسبحة، فهل ربحه من هذا العمل حلال؟,أقول وبالله التوفيق: يجوز التجارة فيه لعدم وجود الموانع من ذلك، والله أعلم.,"نعم، ربحه من هذا العمل حلال في مذهب الحنفية، بشرطين أساسين:

1. **حلّية ذات المبيع**:  
   – المصحف، وسجادة الصلاة، والمسبحة أعيان مباحة شرعًا، بل هي من وسائل الطاعة والذكر.  
   – لا يُشترط قصد القُربة في عقد البيع نفسه، فبيع ما يُستعان به على الطاعة جائز عند الحنفية، بل مندوب إذا خلت المعاملة من المحظورات.

2. **سلامة المعاملة من المحرمات**:  
   – ألا يكون فيها غشّ أو تدليس أو كذب في الوصف أو السعر.  
   – ألا يُتَّخذ المصحف مثلًا على وجه الإهانة أو الوضع في موضع لا يليق، بل يُعامل باحترام.  
   – أن يكون الثمن معلومًا، والربح غير مشروط بما يُفضي إلى الربا أو الجهالة الفاحشة.

فإذا تحققت هذه الضوابط، فالاتجار بهذه المجموعة، والربح الناتج عنها، **حلال جائز** عند الحنفية.",gpt-5.1,1,claude-sonnet-4-5,ok,x-ai/grok-4.3,https://openrouter.ai/api/v1,medium,True,1.0,"{
  ""rating"": 1
}","{""completion_tokens"": 781, ""prompt_tokens"": 905, ""total_tokens"": 1686, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""reasoning_tokens"": 772, ""rejected_prediction_tokens"": null, ""image_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 448, ""cache_write_tokens"": 0, ""video_tokens"": 0}, ""cost"": 0.00261335, ""is_byok"": false, ""cost_details"": {""upstream_inference_cost"": 0.00261335, ""upstream_inference_prompt_cost"": 0.00066085, ""upstream_inference_completions_cost"": 0.0019525}}",,,2026-05-07T09:36:18.751614+00:00,validation_seed
8088__gemini_2_5_flash,11,8088,المعاملات والأمانات,البيع,الإتجار بما يخص مستلزمات الصلاة,إذا أراد شخص الإتجار بمجموعة خاصة للصلاة مكونة من مصحف وسجادة صلاة ومسبحة، فهل ربحه من هذا العمل حلال؟,أقول وبالله التوفيق: يجوز التجارة فيه لعدم وجود الموانع من ذلك، والله أعلم.,نعم، ربحُه من هذا العمل حلالٌ ومشروع. فبيعُ المصاحف وسجاجيد الصلاة والمسبحات جائزٌ في الشريعة الإسلامية، ولا يوجد ما يحرّم التجارة فيها أو الاسترباح منها في المذهب الحنفي. هذه الأدوات تُعين على العبادة، والتجارة فيها تيسّر الحصول عليها للمسلمين.,gemini-2.5-flash,1,claude-sonnet-4-5,ok,x-ai/grok-4.3,https://openrouter.ai/api/v1,medium,True,1.0,"{
  ""rating"": 1
}","{""completion_tokens"": 378, ""prompt_tokens"": 690, ""total_tokens"": 1068, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""reasoning_tokens"": 369, ""rejected_prediction_tokens"": null, ""image_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 128, ""cache_write_tokens"": 0, ""video_tokens"": 0}, ""cost"": 0.0016731, ""is_byok"": false, ""cost_details"": {""upstream_inference_cost"": 0.0016731, ""upstream_inference_prompt_cost"": 0.0007281, ""upstream_inference_completions_cost"": 0.000945}}",,,2026-05-07T09:36:18.751617+00:00,validation_seed
7428__gemini_2_5_flash,75,7428,المعاملات والأمانات,البيع,الإدخار في البنك الربوي,ما حكم وضع النقود في البنك العادي الغير إسلامي؟,أقول وبالله التوفيق: يحرم وضع المال في بنك ربوي إن وجد بنك إسلامي في البلد، إلا لضرورة ملحة، وفي ذلك الوقت يجب التصدق بكل المال الذي يدفع ربا لوجوه الخير، والله أعلم.,"حكم وضع النقود في البنك العادي (غير الإسلامي) في المذهب الحنفي يتلخص في الآتي:

1.  **حسابات التوفير أو الاستثمار التي تدر فوائد:** لا يجوز وضع النقود في هذا النوع من الحسابات بقصد الحصول على الفوائد؛ لأن هذه الفوائد تعتبر **رباً**، والربا محرم قطعاً في الشريعة الإسلامية بالإجماع، وقد نصت كتب الفقه الحنفي على تحريمه.
2.  **الحسابات الجارية (التي لا تدر فوائد):** يجوز وضع النقود في الحساب الجاري للحفظ وتسهيل المعاملات المالية، بشرط ألا يترتب على ذلك أخذ أي فوائد ربوية. ويُعتبر هذا المال قرضاً للبنك، والبنك ملزم برده كاملاً.

**الخلاصة:** لا يجوز التعامل مع البنوك التقليدية بما يشتمل على الربا أخذاً أو إعطاءً. ويجوز وضع المال فيها في الحسابات الجارية للحفظ وتسهيل المعاملات عند الحاجة، مع وجوب تجنب الفوائد الربوية.",gemini-2.5-flash,0,claude-sonnet-4-5,ok,x-ai/grok-4.3,https://openrouter.ai/api/v1,medium,True,0.0,"{
  ""rating"": 0
}","{""completion_tokens"": 1169, ""prompt_tokens"": 933, ""total_tokens"": 2102, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""reasoning_tokens"": 1160, ""rejected_prediction_tokens"": null, ""image_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 128, ""cache_write_tokens"": 0, ""video_tokens"": 0}, ""cost"": 0.00395435, ""is_byok"": false, ""cost_details"": {""upstream_inference_cost"": 0.00395435, ""upstream_inference_prompt_cost"": 0.00103185, ""upstream_inference_completions_cost"": 0.0029225}}",,,2026-05-07T09:36:18.751620+00:00,validation_seed
7428__gpt_5_1,74,7428,المعاملات والأمانات,البيع,الإدخار في البنك الربوي,ما حكم وضع النقود في البنك العادي الغير إسلامي؟,أقول وبالله التوفيق: يحرم وضع المال في بنك ربوي إن وجد بنك إسلامي في البلد، إلا لضرورة ملحة، وفي ذلك الوقت يجب التصدق بكل المال الذي يدفع ربا لوجوه الخير، والله أعلم.,"في مذهب الحنفية:

1. **إيداع المال في البنك الربوي (غير الإسلامي) دون فائدة**  
   - يجوز للحاجة إلى حفظ المال وتسهيل المعاملات (مثل بطاقة الصرّاف، التحويلات…)،  
   - بشرط: عدم الدخول في عقد ربوي، أي لا يشترط ولا يقبل أي زيادة (فائدة).

2. **إيداع المال مع أخذ الفائدة (الربا)**  
   - محرَّم؛ لأنه قرض جرَّ نفعًا مشروطًا، وهو من الربا الصريح.  
   - لا يجوز للمسلم الإقدام على هذا إلا عند ضرورة حقيقية معتبرة شرعًا، والضرورة تُقدَّر بقدرها.

3. **من وقع وأخذ الفائدة**  
   - يجب عليه التوبة،  
   - والتخلّص من الفوائد بصرفها في مصالح عامة أو للفقراء دون نية القُربة (ليست صدقة مُثابًا عليها، بل تخلُّص من مال حرام).

**الخلاصة:**  
- فتح حساب جارٍ أو توفير في بنك غير إسلامي **من غير فائدة** جائز للحاجة.  
- أخذ أي فائدة ربوية على الإيداع **حرام** في مذهب الحنفية.",gpt-5.1,0,claude-sonnet-4-5,ok,x-ai/grok-4.3,https://openrouter.ai/api/v1,medium,True,0.0,"{
  ""rating"": 0
}","{""completion_tokens"": 1336, ""prompt_tokens"": 980, ""total_tokens"": 2316, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""reasoning_tokens"": 1327, ""rejected_prediction_tokens"": null, ""image_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 128, ""cache_write_tokens"": 0, ""video_tokens"": 0}, ""cost"": 0.0044306, ""is_byok"": false, ""cost_details"": {""upstream_inference_cost"": 0.0044306, ""upstream_inference_prompt_cost"": 0.0010906, ""upstream_inference_completions_cost"": 0.00334}}",,,2026-05-07T09:36:18.751623+00:00,validation_seed
