category,llm,n,-1,0,+1,accuracy,partial_rate,contradictory_rate
الحظر والإباحة واللباس والزينة,gemini-2.5-flash,60,17,19,24,40.0,31.666666666666664,28.333333333333332
الحظر والإباحة واللباس والزينة,gpt-5.1,60,12,12,36,60.0,20.0,20.0
الذكر والتزكية والأخلاق,gemini-2.5-flash,59,10,15,34,57.6271186440678,25.423728813559322,16.94915254237288
الذكر والتزكية والأخلاق,gpt-5.1,59,10,17,32,54.23728813559322,28.8135593220339,16.94915254237288
الزواج والطلاق والنفقات,gemini-2.5-flash,60,13,13,34,56.666666666666664,21.666666666666668,21.666666666666668
الزواج والطلاق والنفقات,gpt-5.1,60,8,12,40,66.66666666666666,20.0,13.333333333333334
العبادات,gemini-2.5-flash,60,20,9,31,51.66666666666667,15.0,33.33333333333333
العبادات,gpt-5.1,60,15,24,21,35.0,40.0,25.0
المعاملات والأمانات,gemini-2.5-flash,59,11,15,33,55.932203389830505,25.423728813559322,18.64406779661017
المعاملات والأمانات,gpt-5.1,59,11,18,30,50.847457627118644,30.508474576271187,18.64406779661017
